title,year,genre,plot,poster,rating,trailor
Outpost: Black Sun,2012,"Action, Horror","A pair of investigators team up with a Special Forces Unit to venture deep inside a war raging between the military and a massive army of Nazi Zombie Stormtroopers. Their mission is to fight their way behind enemy lines, locate the technology at the source of this growing threat and prevent the seemingly inevitable rise of the 4th Reich.",https://image.tmdb.org/t/p/w500//7RY2KyEsBB68qLDiheRN8bm45Ku.jpg,5.033,https://www.youtube.com/embed/MBBh7ClJ02U
Code of Honor,2016,"Action, Crime, Thriller",,https://image.tmdb.org/t/p/w500//zoNvd5DNrQwGjc9lVit7rJMYFQY.jpg,4.4,https://www.youtube.com/embed/NrVR3lUPzCQ
Pale Flower,1964,"Drama, Crime, Romance, Action",,https://image.tmdb.org/t/p/w500//xI8duNuJ9ArNZZ6Jc1CbJSOXtzd.jpg,7.4,https://www.youtube.com/embed/oOOr4nuWFqU
We Are from the Future,2008,"War, Science Fiction, Action, Adventure",Four present-day Russian men dig for Nazi memorabilia at a WWII battlefield. A wormhole lake sends them back to a battle in 1942 USSR.,https://image.tmdb.org/t/p/w500//wZCPCdmZQI0GmoJPzyraqtLaarc.jpg,6.195,https://www.youtube.com/embed/kNLmrEOjLRs
The Cub Tiger from Kwang Tung,1973,"Action, Comedy, Drama","Hsiao Hu has been secretly training in martial arts, as his father (Tien Feng) has forbidden him. Later, some local store owners ask Ah to help protect them from a greedy Chinese extortion ring. Ah discovers that the crime lord behind the extortion had killed his father years before and is determined for revenge.",https://image.tmdb.org/t/p/w500//3Qf9OEhcYM3zW5e9ZGtJ6IQ53sY.jpg,5.2,https://www.youtube.com/embed/None
Solis,2018,"Action, Adventure, Science Fiction","Following an accident, an Engineer of an asteroid mining company endures the extreme limits – both physical and psychological – of human survival, trapped inside an escape pod as he helplessly idles towards the Sun.",https://image.tmdb.org/t/p/w500//lea5bLww1ZwbNPRVk0RjB34xxVg.jpg,5.0,https://www.youtube.com/embed/lYRTpbtX6yQ
Legacy,2020,Action,,https://image.tmdb.org/t/p/w500//lNpSPz3etlKDuFYwExPGGpkrlvt.jpg,6.4,https://www.youtube.com/embed/WmoZNCb2vaE
Vibes,1988,"Romance, Action, Comedy","Medium Sylvia Pickel and psychometrist Nick Deezy meet at a psychic research facility in New York. Not long after, they're contacted by Harry Buscafusco, who offers them $50,000 to find his lost son in South America, in the heart of Incan territory where they discover an ancient mystical secret, and each other.",https://image.tmdb.org/t/p/w500//yAT8QJquco2dGBEwqQJBLfP7wtM.jpg,5.758,https://www.youtube.com/embed/rKSpTTL1Bvc
Street,2015,Action,"Remo Street is a young fighter who comes from a world where nothing is easy, so when he is faced with the opportunity to train with a world class coach, he has to choose between the long hard road to honor and glory, or succumbing to a brutal future as a cage fighter for the Russian Mafia.",https://image.tmdb.org/t/p/w500//dBPa6MJw6yzCu6eUVI2rL9mk9nl.jpg,6.6,https://www.youtube.com/embed/rWcK5G1FFMk
Batman: Strange Days,2014,"Action, Animation, TV Movie","Celebrating Batman’s 75th anniversary, DC Entertainment and Warner Bros. Animation have debuted this new animated short for the cultural icon.",https://image.tmdb.org/t/p/w500//doNcszmSj14ik6owOlGx5Ul9hwC.jpg,7.1,https://www.youtube.com/embed/None
The Future Diary: Redial,2013,"Action, Animation, Drama, Romance, Thriller",The Second is dead and the Gasai Yuno in the third world finally gets to live a happy life with her loving parents and friends from school. But there is still an empty place in her heart — it seems she has forgotten a person really close to her but simply cannot regain her memories...,https://image.tmdb.org/t/p/w500//1YBQpBfrhZxNKP7v9ul6pnCbYl6.jpg,7.3,https://www.youtube.com/embed/None
Lupin the Third: Farewell to Nostradamus,1995,"Animation, Action, Adventure","A simple diamond heist leads Lupin into the machinations of a bizarre cult based around the prophecies of Nostradamus. They kidnap Julia, the daughter of Douglas, a wealthy American who is seeking the presidency, along with Lupin's diamond. At stake is the lost book of prophecy Douglas holds in the vault at the top of his skyscraper.",https://image.tmdb.org/t/p/w500//bRWjfBCkDUDVAPMMPTEx9MZHFBe.jpg,6.681,https://www.youtube.com/embed/None
Blood for a Silver Dollar,1965,"Western, Action, Romance",Two brothers part company only to be reunited when one is hired to stop a thief who turns out to be his sibling.,https://image.tmdb.org/t/p/w500//qYPqaacXnlHJkTV4T8UkPxWqIGa.jpg,6.6,https://www.youtube.com/embed/kT4ktfdgJ6g
Raid on Rommel,1971,"War, Action","Captain Foster plans on raiding German-occupied Tobruk with hand- picked commandos, but a mixup leaves him with a medical unit led by a Quaker conscientious objector.",https://image.tmdb.org/t/p/w500//eXsYwl8p4MWPC0lvZRItgHlR7vq.jpg,5.7,https://www.youtube.com/embed/None
Fusé: Memoirs of a Huntress,2012,"Action, Animation, Drama, History",,https://image.tmdb.org/t/p/w500//2JiSF8dJY05LMNTcaCTATUAcBX4.jpg,6.9,https://www.youtube.com/embed/kF4ol3M84BI
The Prophecy: Uprising,2005,"Horror, Action, Fantasy, Thriller","There exists an ancient manuscript still writing itself called the Lexicon. It supposedly tells of the coming of the Anti-Christ, and happens to fall into the hands of an unsuspecting woman. Now, she is being pursued by angels intent on obtaining the information from the book.",https://image.tmdb.org/t/p/w500//xWdpedZ4EtUQ8gcpc6WYGeqsy20.jpg,5.04,https://www.youtube.com/embed/IFhWOrKVJKo
The New One-Armed Swordsman,1971,"Action, Drama, History, War",,https://image.tmdb.org/t/p/w500//m1PMgaEetjurCloTizcsREggBYM.jpg,6.595,https://www.youtube.com/embed/lzxdKcN4zu4
Lily C.A.T.,1987,"Science Fiction, Horror, Animation, Action",The crew of an interplanetary starship fights for survival after an alien force takes control of their craft.,https://image.tmdb.org/t/p/w500//nRfQD3BgsAKCppB0YCX78ZhV8zB.jpg,5.667,https://www.youtube.com/embed/None
SuperBob,2015,"Action, Comedy, Romance","After six years without a date, Robert, the world's only superhero, is looking for love. The only barrier to his plan is that he regularly has to save the world, so he needs to get some time off if he is to meet his superwoman.",https://image.tmdb.org/t/p/w500//9asWkGz7p2pYsvQkEmQpXMYfHRj.jpg,6.0,https://www.youtube.com/embed/141549015
Strike Witches the Movie,2012,"Animation, Action, Fantasy",,https://image.tmdb.org/t/p/w500//uPGRxdBtxS1qRES8guq20fmJSWj.jpg,5.9,https://www.youtube.com/embed/None
Baby: Secret of the Lost Legend,1985,"Adventure, Fantasy, Action, Family","A paleontologist and her husband discover a mother and baby brontosaurus in Africa, and try to protect them from hunters who want to capture them.",https://image.tmdb.org/t/p/w500//dpFvqfveE9mQWfmevdvp4QcgTU1.jpg,5.278,https://www.youtube.com/embed/4-fh21yHeyM
The Unseen,2016,"Action, Horror, Science Fiction, Thriller","A man, who years earlier mysteriously abandoned his family and isolated himself in a small northern town, returns for one last chance to reconnect with his troubled daughter. When she goes missing, he risks everything to find her, including exposing the fact that he is becoming invisible.",https://image.tmdb.org/t/p/w500//fNZeKZ2U6hAZRH9HouFN5tdEarf.jpg,5.932,https://www.youtube.com/embed/LXQDoW2IsoE
Maneater,2007,"Action, Drama, Horror, Thriller","When a dismembered body is found in the Appalachian Mountains, a county Sheriff is shocked to discover that the predator is a six-hundred pound Bengal tiger.",https://image.tmdb.org/t/p/w500//nIdSlDXzB4HKFTQBczdMfCpnPLh.jpg,5.294,https://www.youtube.com/embed/lf6oHJF4O1Q
Go Fast,2008,"Drama, Action, Crime",,https://image.tmdb.org/t/p/w500//2RkYggOA7VnTlQz48YegEBDwFH4.jpg,5.885,https://www.youtube.com/embed/fslYsa1umyI
Check Point,2017,Action,,https://image.tmdb.org/t/p/w500//wVeCqZYoAq8SK0CtDxERo2Ze9co.jpg,6.4,https://www.youtube.com/embed/None
High Heels and Low Lifes,2001,"Action, Crime, Comedy",A nurse eavesdrops with a friend on a cell phone conversation that describes a bank heist. She and the friend then conspire to blackmail the robbers for $2 million.,https://image.tmdb.org/t/p/w500//jyC13aGpVP4ogf8jSVfWLdk02h1.jpg,6.178,https://www.youtube.com/embed/-xQSEm5KUIk
Persona 3 the Movie: #2 Midsummer Knight's Dream,2014,"Fantasy, Comedy, Action, Animation",,https://image.tmdb.org/t/p/w500//9biKEq60rbPz30tI2p2he1xGdIh.jpg,7.1,https://www.youtube.com/embed/eJx_SamAovs
God of Gamblers III: Back to Shanghai,1991,"Action, Comedy, Thriller",,https://image.tmdb.org/t/p/w500//dmhdQ61SfG8p44ySNIhRrq8F70M.jpg,6.886,https://www.youtube.com/embed/S0zpNBvRvMw
Kids From Shaolin,1984,"Action, Comedy",Romance blossoms between two rival families practicing Shaolin and Wudang kungfu respectively. despite familial opposition - until they overcome a gang of scheming bandits together.,https://image.tmdb.org/t/p/w500//1V6EGfuYUmbkjpHjXXwBtgbIf2I.jpg,6.3,https://www.youtube.com/embed/None
